name,name_hash,toc_file,pack,handle,string_id,value,status
IDS_ABOUT_TEXT_FORMATTED,0x6DFF971A,packTOC_xga.dat,pack0_core_xga,0x21FF0298,0x0298,"
Glu Mobile

",resolved
IDS_ABOUT_TEXT_PLAIN,0x87144EB5,packTOC_xga.dat,pack0_core_xga,0x21FF0295,0x0295,"
Glu Mobile

",resolved
IDS_ABOUT_TITLE,0xBCB675EF,packTOC_xga.dat,pack0_core_xga,0x21FF017F,0x017F,About,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack0_core_xga,0x21FF0163,0x0163,Accept,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack1_xga,0x21FF0241,0x0241,Accept,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack3_xga,0x21FF025B,0x025B,Accept,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack4_xga,0x21FF0583,0x0583,Accept,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack5_xga,0x21FF03EC,0x03EC,Accept,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack7_xga,0x21FF01BA,0x01BA,Accept,resolved
IDS_ACCEPT,0x6B577E85,packTOC_xga.dat,pack9_xga,0x21FF019D,0x019D,Accept,resolved
IDS_ACCOUNT_CHANGE_DESC,0x3FAC02C0,packTOC_xga.dat,pack0_core_xga,0x21FF01CE,0x01CE,"Looks like you're using a different Gun Bros. account. We need to relaunch the game with your new account's data.

Progress in the current play session may be lost.",resolved
IDS_ACCOUNT_CHANGE_TITLE,0xFAD0EBB9,packTOC_xga.dat,pack0_core_xga,0x21FF01CD,0x01CD,Gun Bros. Account Change,resolved
IDS_ACCOUNT_CONFLICT_DESC0,0x119CC147,packTOC_xga.dat,pack0_core_xga,0x21FF01DB,0x01DB,Your device's save is out of sync with your online save. Please select your latest save data below:,resolved
IDS_ACCOUNT_CONFLICT_DESC1,0x119CC146,packTOC_xga.dat,pack0_core_xga,0x21FF01DC,0x01DC,"
Online save

Level: %i
XP: %i
Coins: Ω%i
War Bucks: δ%i
",resolved
IDS_ACCOUNT_CONFLICT_DESC2,0x119CC145,packTOC_xga.dat,pack0_core_xga,0x21FF01DD,0x01DD,"
Device's save

Level: %i
XP: %i
Coins: Ω%i
War Bucks: δ%i
",resolved
IDS_ACCOUNT_CONFLICT_TITLE,0x118C06C2,packTOC_xga.dat,pack0_core_xga,0x21FF01DA,0x01DA,SAVE SELECT,resolved
IDS_ACCOUNT_LOGOUT_CONF_DESC,0x6663CBB4,packTOC_xga.dat,pack0_core_xga,0x21FF01D2,0x01D2,Are you sure you want to log out? Logging out could result in offline play which will make the brotherhood unaccessible.,resolved
IDS_ACCOUNT_LOGOUT_CONF_TITLE,0x663C7CF3,packTOC_xga.dat,pack0_core_xga,0x21FF01D1,0x01D1,Gun Bros. Account Logout,resolved
IDS_ACCOUNT_LOGOUT_DESC,0x3CBC0DB6,packTOC_xga.dat,pack0_core_xga,0x21FF01D0,0x01D0,"Looks like you've logged out. If you continue to play offline you may potentially lose progress.

Would you kindly login again?",resolved
IDS_ACCOUNT_LOGOUT_TITLE,0xCBD01CD9,packTOC_xga.dat,pack0_core_xga,0x21FF01CF,0x01CF,Gun Bros. Account Logout,resolved
IDS_ACCOUNT_RECONNECT_DESC,0x672D1F13,packTOC_xga.dat,pack0_core_xga,0x21FF01E5,0x01E5,"We can try to get back online, but we will have to relaunch the app.

Would you like to continue?",resolved
IDS_ACCOUNT_RECONNECT_TITLE,0x72C12683,packTOC_xga.dat,pack0_core_xga,0x21FF01E4,0x01E4,Gun Bros. Reconnect,resolved
IDS_ACHIEVEMENT_,0xD3724CC6,packTOC_xga.dat,,,,,not_found
IDS_ADCOLONY_1_POINT_EARNED,0x62586462,packTOC_xga.dat,pack0_core_xga,0x21FF0488,0x0488,Thanks for watching the sponsored video. You earned %d War Bucks!,resolved
IDS_ADCOLONY_NOT_READY_CAPTION,0x77B9CF48,packTOC_xga.dat,pack0_core_xga,0x21FF0482,0x0482,Currently Unavailable,resolved
IDS_ADCOLONY_NOT_READY_MSG,0xC2F67C8B,packTOC_xga.dat,pack0_core_xga,0x21FF0483,0x0483,Sorry this feature is not available at the moment. Try again later.,resolved
IDS_ADCOLONY_POINTS_EARNED,0xBCE0B2FF,packTOC_xga.dat,pack0_core_xga,0x21FF0487,0x0487,Thanks for watching the sponsored video. You earned %d War Bucks!,resolved
IDS_ADCOLONY_POINTS_EARNED_CAPTION,0x0BA58744,packTOC_xga.dat,pack0_core_xga,0x21FF0486,0x0486,Free War Bucks Earned!,resolved
IDS_ADCOLONY_WATCH_VIDEO_CAPTION,0x90302EBB,packTOC_xga.dat,pack0_core_xga,0x21FF0484,0x0484,Earn Free War Bucks!,resolved
IDS_ADCOLONY_WATCH_VIDEO_MSG,0x23399F02,packTOC_xga.dat,pack0_core_xga,0x21FF0485,0x0485,Watch video and earn %d War Bucks!,resolved
IDS_APPSTORE_GAME_EMAIL_URL,0x2AB8AD6D,packTOC_xga.dat,pack0_core_xga,0x21FF0170,0x0170,http://gcs.glu.com/gcs/iphone/iphone.jsp?t=gunbros&src=inviteemail&p=iphone,resolved
IDS_APPSTORE_GAME_SMS_URL,0x1739C141,packTOC_xga.dat,pack0_core_xga,0x21FF0171,0x0171,http://gcs.glu.com/gcs/iphone/iphone.jsp?t=gunbros&src=inviteSMS&p=iphone,resolved
IDS_APPSTORE_GAME_URL,0x61ED10D3,packTOC_xga.dat,pack0_core_xga,0x21FF016E,0x016E,http://gcs.glu.com/gcs/iphone/iphone.jsp?t=gunbros&src=forcedUpgrade&p=iphone,resolved
IDS_APPSTORE_RATE_URL,0x307D10D2,packTOC_xga.dat,pack0_core_xga,0x21FF016F,0x016F,http://gcs.glu.com/gcs/iphone/iphone.jsp?t=gunbros&page=review&p=iphone,resolved
IDS_BETA_COMING_SOON_BODY,0xD690C828,packTOC_xga.dat,pack0_core_xga,0x21FF021B,0x021B,The Brotherhood is currently not available. It will be available soon as a free update on the Android Market.,resolved
IDS_BETA_COMING_SOON_TITLE,0x691AF098,packTOC_xga.dat,pack0_core_xga,0x21FF021C,0x021C,Coming Soon,resolved
IDS_BRO_AUTOSEL_BODY,0x0720FA78,packTOC_xga.dat,pack0_core_xga,0x21FF017D,0x017D,"
^f1Bro Auto Select
^f0
Automatically selects bros with brotherhood rewards available.

ASK - Asks if you would like to switch bros.

OFF - Does not ask, and does not switch bros.

ON - Does not ask, and automatically switches bros to collect all available rewards.",resolved
IDS_BRO_SELECT_BODY,0xA170B117,packTOC_xga.dat,pack0_core_xga,0x21FF0181,0x0181,"
^f1Brother Select
^f0
Afraid of commitment?
Change your Gun Brother here at any time.",resolved
IDS_BRO_SELECT_TITLE,0x171A606F,packTOC_xga.dat,pack0_core_xga,0x21FF0180,0x0180,Bro Select,resolved
IDS_BROTHER_AUTOSELECT_ASK,0x9157001B,packTOC_xga.dat,pack0_core_xga,0x21FF0384,0x0384,AutoBro Ask,resolved
IDS_BROTHER_AUTOSELECT_BODY,0x15703D10,packTOC_xga.dat,pack0_core_xga,0x21FF0380,0x0380,"Automatically switch active brother to collect more brotherhood rewards?


",resolved
IDS_BROTHER_AUTOSELECT_OFF,0x91570F46,packTOC_xga.dat,pack0_core_xga,0x21FF0382,0x0382,AutoBro Off,resolved
IDS_BROTHER_AUTOSELECT_ON,0x091570C8,packTOC_xga.dat,pack0_core_xga,0x21FF0383,0x0383,AutoBro On,resolved
IDS_BROTHER_AUTOSELECT_TITLE,0x5712A014,packTOC_xga.dat,pack0_core_xga,0x21FF037F,0x037F,Brotherhood Rewards Available!,resolved
IDS_BROTHER_AUTOSELECT_TOGGLE,0x713D3A90,packTOC_xga.dat,pack0_core_xga,0x21FF0381,0x0381,^f1Save Selection,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack0_core_xga,0x21FF0164,0x0164,Cancel,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack1_xga,0x21FF0242,0x0242,Cancel,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack3_xga,0x21FF025C,0x025C,Cancel,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack4_xga,0x21FF0584,0x0584,Cancel,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack5_xga,0x21FF03ED,0x03ED,Cancel,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack7_xga,0x21FF01BB,0x01BB,Cancel,resolved
IDS_CANCEL,0x6B75A9CD,packTOC_xga.dat,pack9_xga,0x21FF019E,0x019E,Cancel,resolved
IDS_CHALLENGE_PUSH_BODY,0xB2D7EC78,packTOC_xga.dat,pack0_core_xga,0x21FF017B,0x017B,"
^f1Bro-Op Push Notifications
^f0
Turns the push notifications received with Bro-Op Challenge requests ON or OFF.",resolved
IDS_CHALLENGE_PUSH_TOGGLE_OFF_GAME,0xDAFE23B3,packTOC_xga.dat,pack0_core_xga,0x21FF0161,0x0161,Bro-Op Off,resolved
IDS_CHALLENGE_PUSH_TOGGLE_ON_GAME,0x6D3764C7,packTOC_xga.dat,pack0_core_xga,0x21FF0160,0x0160,Bro-Op On,resolved
IDS_CHALLENGES_CATEGORY1,0x10DBDD52,packTOC_xga.dat,pack0_core_xga,0x21FF0244,0x0244,Challenges,resolved
IDS_CHALLENGES_CATEGORY2,0x10DBDD51,packTOC_xga.dat,pack0_core_xga,0x21FF0245,0x0245,Recruit,resolved
IDS_CHALLENGES_CATEGORY3,0x10DBDD50,packTOC_xga.dat,pack0_core_xga,0x21FF0246,0x0246,Requests,resolved
IDS_CHALLENGES_DESC,0x87AFF57F,packTOC_xga.dat,pack0_core_xga,0x21FF0242,0x0242,"Complete Challenges Daily to Get Rewards.
Recruit Bros to get Bigger Rewards!",resolved
IDS_CHALLENGES_ENLIST_DESC,0x0E61F78B,packTOC_xga.dat,pack0_core_xga,0x21FF0262,0x0262,Login or create a Game Center or Facebook account to access Bro-Op Challenges.,resolved
IDS_CHALLENGES_INVITE,0xAF4E2082,packTOC_xga.dat,pack0_core_xga,0x21FF0253,0x0253,Recruit Bros!,resolved
IDS_CHALLENGES_INVITE_SENT,0x08708A56,packTOC_xga.dat,pack0_core_xga,0x21FF0254,0x0254,Invite Sent!,resolved
IDS_CHALLENGES_NOTIF_COMPLETION,0x1B81B16A,packTOC_xga.dat,pack0_core_xga,0x21FF025B,0x025B,Bro-Op Solo Complete!,resolved
IDS_CHALLENGES_NOTIF_FRIEND_COMPLETION,0x296A0D0C,packTOC_xga.dat,pack0_core_xga,0x21FF025C,0x025C,Bro-Op Completed by Bro!,resolved
IDS_CHALLENGES_NOTIF_FRIEND_REQUEST,0x1A9E9EC4,packTOC_xga.dat,pack0_core_xga,0x21FF025D,0x025D,Bro-Op Request Received!,resolved
IDS_CHALLENGES_OFFLINE_DESC,0x5DA4C757,packTOC_xga.dat,pack0_core_xga,0x21FF0263,0x0263,You must be connected to a network and logged into Game Center or Facebook to access Bro-Op Challenges.,resolved
IDS_CHALLENGES_PROGRESS_KILLS,0xC8FC6674,packTOC_xga.dat,pack0_core_xga,0x21FF0247,0x0247, Kills,resolved
IDS_CHALLENGES_PROMPT_COMPLETE_DESC1,0x6116B8CC,packTOC_xga.dat,pack0_core_xga,0x21FF025F,0x025F,"Congratulations. You completed:

'%s'

 Touch the challenge to see the reward info.",resolved
